,Company,TypeName,Ram,OpSys,Weight,Price,Touchscreen,Ips,Cpu_brand,HDD,SSD
152,6,2,4,3,1.9,26533.44,0,0,1,0,128
153,8,4,16,3,2.8,100699.2,0,0,2,1000,256
154,2,1,4,3,1.48,57648.96,0,0,1,0,256
155,2,2,6,3,1.91,32980.32,0,0,1,0,256
156,6,5,4,3,1.74,33513.119999999995,1,1,4,0,256
157,4,5,8,3,1.1,70063.2,1,0,1,0,256
158,5,5,8,3,1.56,55890.72,1,0,2,0,256
159,10,2,4,3,2.1,23816.16,0,0,4,500,0
160,4,2,4,3,2.03,21471.84,0,0,3,1000,0
161,3,2,4,3,3.0,42890.4,0,1,1,0,256
162,5,2,8,3,2.13,38787.84,0,0,1,0,256
163,6,4,16,3,2.5,57489.12,0,1,2,0,256
164,3,2,4,3,2.1,18541.44,0,0,5,1000,0
165,8,4,16,3,2.4,95850.72,0,1,2,1000,256
166,3,2,4,3,2.1,19367.8128,0,0,5,1000,0
167,5,4,8,3,2.56,56502.9072,0,0,2,1000,128
168,3,2,8,3,3.0,45501.12,0,1,1,0,256
169,2,2,4,3,1.49,40173.12,0,1,1,500,0
170,11,1,8,3,1.05,71874.72,0,1,1,0,256
171,2,2,6,3,2.71,37242.72,0,1,1,2000,0
172,6,2,4,2,2.2,16463.52,0,0,3,500,0
173,10,2,4,3,2.0,26053.92,0,0,4,500,0
174,2,2,8,3,2.5,49177.44,0,0,1,0,256
175,5,2,8,3,2.3,24455.52,0,0,4,1000,0
176,3,2,4,3,2.1,23922.72,0,0,4,0,128
177,8,4,32,3,4.4,149130.72,0,0,2,1000,512
178,6,2,8,3,1.9,43316.64,0,0,1,1000,128
179,2,5,8,3,1.29,79866.72,1,1,1,0,256
180,5,2,16,5,2.02,55890.72,0,0,2,2000,256
181,5,1,8,3,1.23,74538.72,0,0,1,0,256
182,6,5,16,3,1.4,98514.72,1,1,2,0,512
183,10,2,8,3,2.0,42251.04,0,0,1,0,128
184,12,2,8,2,1.95,63882.72,0,1,1,0,256
185,5,2,16,3,2.77,82530.72,1,0,2,0,512
186,5,2,16,3,2.06,127712.16,1,0,2,0,512
187,6,4,8,2,2.4,41505.12,0,1,1,0,256
188,3,1,8,3,1.12,52693.92,0,1,1,0,256
189,5,2,8,3,2.8,57808.8,0,0,2,1000,128
190,6,5,16,3,1.42,150462.72,1,0,2,0,1000
191,13,2,4,3,1.3,13852.8,0,1,5,0,0
192,12,1,8,2,1.3,53274.67199999999,0,1,1,0,256
193,6,2,8,2,2.8,37189.44,0,0,1,0,256
194,5,5,8,3,1.62,44701.92,1,1,2,1000,0
195,2,2,8,3,2.5,48697.92,0,1,1,1000,0
196,14,4,32,3,3.49,324954.72,1,0,2,0,1000
197,2,2,8,3,1.49,51095.52,0,0,1,0,512
198,2,4,16,3,3.35,73473.12,0,1,2,1000,256
199,2,2,8,3,2.5,55677.6,0,0,2,0,256
200,5,4,16,3,2.65,98301.6,0,1,2,1000,512
201,6,2,4,3,2.1,26267.04,0,0,1,0,128
202,3,2,8,3,2.23,39533.76,0,0,2,1000,0
203,6,4,16,3,3.2,93186.72,0,1,2,1000,512
204,5,6,16,3,2.8,162770.4,0,0,5,1000,256
205,6,4,16,2,2.4,74485.44,0,0,2,0,512
206,5,2,6,3,2.3,23389.92,1,0,4,1000,0
207,5,1,8,3,1.21,103842.72,1,1,2,0,256
208,5,1,8,3,1.2,77202.72,0,0,2,0,256
209,6,2,8,3,2.2,31808.16,0,0,1,0,256
210,3,2,8,5,2.4,41505.12,0,0,2,1000,0
211,4,4,16,3,2.9,74964.95999999999,0,0,2,1000,256
212,2,2,4,2,2.1,18594.72,0,0,4,500,0
213,6,2,8,2,2.2,29250.72,0,0,1,0,256
214,11,1,8,3,1.05,79866.72,0,1,2,0,512
215,5,1,8,3,1.4,49650.5664,0,1,2,0,256
216,6,2,8,2,2.8,31381.92,0,0,1,1000,0
217,2,2,8,3,1.63,54931.68,0,0,2,0,256
218,5,1,8,3,1.6,61218.72,0,0,1,0,256
219,5,5,16,3,1.62,68145.12,1,0,2,0,512
220,5,2,8,5,2.2,36089.208,0,0,1,0,256
221,6,5,8,3,1.74,47898.72,0,1,1,0,256
222,10,1,8,3,1.2,72620.64,0,0,2,0,256
223,2,2,8,3,2.1,42304.32,0,0,1,1000,0
224,5,4,16,3,4.42,130873.7952,0,1,2,1000,256
225,3,2,8,3,2.2,44328.96,0,0,2,0,256
226,5,2,16,3,2.3,45768.0528,1,0,2,1000,0
227,4,2,8,3,2.0,40972.32,0,0,1,0,256
228,4,2,8,3,2.69,47472.48,0,0,1,500,256
229,2,2,8,3,1.9,67612.31999999999,0,0,2,1000,0
230,4,2,4,3,2.37,21258.1872,0,0,4,1000,0
231,2,2,4,3,2.1,17582.399999999998,0,0,3,500,0
232,6,4,16,3,3.2,79866.72,0,1,2,1000,256
233,5,2,8,3,1.6,45767.52,0,0,1,0,256
234,3,5,8,3,1.6,36709.92,1,1,1,0,256
235,5,2,16,5,2.36,47898.72,0,0,2,0,256
236,3,2,4,5,2.1,20779.2,0,0,4,1000,0
237,4,2,4,3,2.2,30636.0,0,0,3,1000,128
238,4,4,32,3,4.7,207259.2,0,0,2,1000,512
239,3,4,8,3,2.5,45074.88,0,1,1,0,256
240,6,2,8,3,2.2,31381.92,0,0,4,0,128
241,4,2,8,3,2.1,61005.6,0,0,2,1000,128
242,4,2,8,2,2.69,47365.92,0,0,2,1000,128
243,5,4,8,3,2.56,46833.12,0,0,1,0,256
244,6,5,8,3,1.38,57489.12,1,1,2,0,256
245,5,2,8,3,2.2,52480.8,0,0,2,2000,128
246,2,2,8,3,2.04,29783.52,1,0,1,1000,0
247,4,4,16,3,3.6,159786.72,0,0,2,0,256
248,2,2,4,3,1.49,35964.0,0,1,1,500,0
249,1,1,8,1,1.37,108691.2,0,1,1,0,512
250,5,5,8,3,2.08,43636.32,1,1,2,1000,0
251,4,4,16,3,4.3,95850.72,0,0,2,1000,256
252,4,2,4,3,1.68,24988.32,0,0,3,1000,0
253,6,5,8,3,1.37,98514.72,1,1,2,0,512
254,3,2,4,3,3.0,37402.56,0,1,4,0,256
255,5,1,8,3,1.41,50562.72,0,0,1,0,256
256,2,2,8,3,1.91,23757.552,0,0,3,0,128
257,2,2,16,3,2.9,56423.52,0,1,2,1000,0
258,8,4,16,3,4.14,133146.72,0,0,2,1000,512
259,6,5,8,3,2.0,90522.72,1,1,2,0,512
260,5,2,8,3,2.8,60845.76,0,0,2,1000,128
261,6,2,4,2,2.2,23656.32,0,0,4,0,256
262,2,2,4,3,2.1,38468.16,0,1,1,500,0
263,5,2,4,3,2.18,35004.96,0,0,1,1000,0
264,5,2,8,3,2.24,30103.2,0,0,1,1000,0
265,5,5,8,3,2.67,42570.72,1,0,1,0,256
266,4,5,8,3,1.1,79866.72,1,0,2,0,1024
267,6,2,4,2,2.2,24881.76,0,0,1,1000,0
268,2,2,8,3,2.5,54239.04,0,0,2,1000,0
269,6,2,8,3,2.05,46886.4,0,0,2,0,256
270,1,1,8,1,1.37,104370.192,0,1,1,0,512
271,4,4,16,3,3.2,82530.72,0,0,3,1000,256
272,5,2,8,5,2.14,39164.5296,0,0,2,0,256
273,6,5,16,3,1.36,133146.72,1,0,2,0,512
274,10,2,8,3,2.2,43263.36,0,0,2,500,0
275,5,2,12,3,2.3,37992.3696,0,0,2,1000,0
276,5,2,8,5,2.8,58554.72,0,0,2,1000,128
277,3,2,8,3,2.2,39693.6,0,1,2,1000,0
278,6,2,4,3,2.8,26053.92,0,0,4,1000,0
279,6,2,8,2,2.8,45234.72,0,0,2,2000,0
280,6,2,6,3,2.8,45767.52,0,0,2,1000,128
281,5,2,4,5,2.25,22803.84,0,0,4,1000,0
282,6,4,8,3,2.5,44169.12,0,1,1,0,256
283,6,2,6,3,2.2,30849.12,0,0,1,0,256
284,3,2,8,3,3.0,50669.28,0,1,2,0,256
285,3,2,12,3,2.15,35111.52,1,1,2,1000,0
286,6,2,8,3,1.95,58448.16,0,1,2,0,256
287,4,1,8,3,1.7,52054.56,0,0,1,0,256
288,6,4,16,3,2.5,62817.12,0,1,2,1000,256
289,6,2,8,2,2.2,35112.0528,0,0,2,1000,0
290,3,2,2,8,2.19,10602.72,0,0,5,0,16
291,4,4,8,3,3.0,63243.36,0,0,2,1000,0
292,2,2,8,3,2.54,26053.92,0,0,4,1000,0
293,5,2,8,3,2.0,97449.12,0,0,2,0,256
294,6,2,8,3,2.05,39373.92,0,0,1,0,256
295,6,4,8,3,3.2,69210.72,0,1,2,1000,0
296,3,2,8,5,2.5,52161.12,0,0,2,0,256
297,5,6,16,3,3.42,153705.3408,0,0,2,0,256
298,6,2,6,3,2.4,26586.72,0,0,3,1000,0
299,4,1,16,3,1.63,78215.04,0,0,2,0,512
300,4,2,4,3,1.3,27119.52,0,0,4,0,128
301,4,4,16,3,2.9,113060.16,0,0,2,1000,256
302,6,2,6,3,2.8,34578.72,0,0,1,1000,0
303,6,2,8,2,2.2,29250.72,0,0,1,2000,0
304,4,4,8,3,2.5,67399.2,0,0,2,1000,128
305,6,2,4,2,2.2,19180.2672,0,0,5,1000,0
306,2,5,16,3,1.28,105228.0,1,0,2,0,256
307,10,2,8,3,2.2,55571.04,0,1,2,0,256
308,6,2,8,3,2.3,43636.32,0,0,1,1000,128
309,2,2,4,3,1.86,24988.32,0,0,4,1000,0
310,6,2,8,3,1.1,53226.72,0,1,1,0,256
311,5,1,16,3,1.21,133146.72,1,1,2,0,1000
312,8,4,16,3,2.8,111834.72,0,1,2,1000,256
313,3,2,8,3,2.23,24988.32,0,0,3,0,256
314,4,5,2,3,1.1,14652.0,1,0,5,0,0
315,5,2,8,3,2.33,44968.32,0,0,1,1000,128
316,2,5,16,3,1.29,130482.72,1,1,2,0,1000
